ID,Play Frequency,Time Since Played,Latency,Infractions,Skill Level
Player 184,16,8,189,0,9
Player 919,7,8,188,3,34
Player 516,2,1,62,5,75
Player 148,2,16,35,5,32
Player 957,14,3,5,4,99
Player 87,12,2,74,4,39
Player 212,1,16,141,0,35
Player 455,8,19,3,2,95
Player 703,13,14,101,2,23
Player 913,13,8,177,5,58
Player 422,2,7,61,5,24
Player 275,5,2,32,5,67
Player 916,20,19,109,0,63
Player 931,21,3,8,1,99
Player 181,15,19,177,0,86
Player 941,19,9,48,0,97
Player 279,4,19,109,0,47
Player 354,3,7,193,5,14
Player 496,10,15,53,5,68
Player 371,3,3,71,0,0
Player 76,2,1,72,3,43
Player 476,5,1,4,2,25
Player 818,22,10,107,2,43
Player 475,2,11,29,1,28
Player 840,17,11,59,2,75
Player 424,14,8,121,4,66
Player 424,14,8,121,4,66
Player 328,19,11,22,3,45
Player 648,19,12,65,3,19
Player 875,7,5,57,0,14
Player 587,18,22,27,1,11
Player 747,4,14,119,5,90
Player 265,16,14,31,0,39
Player 655,3,17,118,3,4
Player 30,23,12,188,5,13
Player 915,22,19,148,4,67
Player 766,16,6,190,4,100
Player 331,24,7,182,5,16
Player 724,20,15,88,5,31
Player 253,15,7,126,1,71
Player 350,14,6,156,1,22
Player 650,11,7,195,0,41
Player 259,16,21,97,1,86
Player 574,24,17,70,0,56
Player 596,22,4,6,3,13
Player 307,20,6,12,1,19
Player 364,21,18,114,5,96
Player 389,8,6,108,5,99
Player 872,1,20,4,0,94
Player 877,22,20,72,2,72
Player 586,21,17,24,0,49
Player 820,6,13,40,2,77
Player 900,8,17,95,0,10
Player 292,20,19,32,4,9
Player 653,0,21,16,0,32
Player 376,3,12,21,2,19
Player 768,19,1,89,4,9
Player 914,2,15,133,1,13
Player 753,24,15,84,3,83
Player 173,14,14,79,1,92
Player 531,9,3,37,3,0
Player 759,23,17,175,1,21
Player 746,13,21,196,0,69
Player 358,19,20,101,3,96
Player 651,22,10,199,5,48
Player 21,6,16,47,1,88
Player 310,17,7,133,4,28
Player 408,16,19,114,3,0
Player 446,20,11,190,2,69
Player 225,8,14,33,2,18
Player 837,21,16,140,5,43
Player 200,1,13,185,2,68
Player 447,17,19,160,2,62
Player 556,12,6,30,0,38
Player 994,8,7,0,3,40
Player 945,13,24,110,5,26
Player 925,10,16,72,5,9
Player 88,6,23,135,0,36
Player 611,4,4,90,5,1
Player 819,21,23,176,1,17
Player 528,24,16,65,4,33
Player 641,16,16,195,1,32
Player 40,20,17,175,2,31
Player 272,15,6,7,1,81
Player 163,9,8,128,5,34
Player 492,8,19,132,3,7
Player 2,13,14,67,0,34
Player 173,14,14,79,1,92
Player 942,23,12,16,3,71
Player 986,0,8,57,2,9
Player 172,6,5,81,1,59
Player 827,23,7,79,5,62
Player 919,7,8,188,3,34
Player 62,10,7,68,4,51
Player 541,0,3,135,5,48
Player 399,3,18,109,0,79
Player 823,0,19,153,4,78
Player 459,20,5,162,2,51
Player 190,19,16,97,0,13
Player 909,12,16,129,5,84
Player 484,2,1,66,0,55
Player 476,5,1,4,2,25
Player 39,9,24,16,4,72
Player 773,15,21,162,4,75
Player 503,10,19,92,0,6
Player 951,21,20,54,0,71
Player 796,7,11,39,1,22
Player 381,18,23,128,1,5
Player 899,7,2,82,4,97
Player 515,1,16,200,5,10
Player 623,20,1,103,3,23
Player 568,24,12,185,1,81
Player 568,24,12,185,1,81
Player 12,5,21,146,2,59
Player 564,22,22,159,5,76
Player 378,5,22,16,4,35
Player 508,0,15,197,5,23
Player 339,13,4,48,3,85
Player 385,19,2,174,4,46
Player 392,17,19,167,2,84
Player 844,6,3,86,4,91
Player 535,5,15,75,1,56
Player 15,1,15,99,3,58
Player 749,18,22,122,1,7
Player 677,12,3,11,2,75
Player 898,17,21,176,4,51
