ID,Play Frequency,Time Since Played,Latency,Infractions,Skill Level
Player 1,15,97,5,2,12
Player 2,1,122,7,4,55
Player 3,21,113,10,5,86
Player 4,15,15,0,4,21
Player 5,7,1,10,1,80
Player 6,16,1,5,5,3
Player 7,1,186,15,4,84
Player 8,20,56,19,2,51
Player 9,1,181,0,3,9
Player 10,18,21,16,1,19
Player 11,6,154,4,1,70
Player 12,20,120,13,4,61
Player 13,15,18,15,0,25
Player 14,2,22,6,4,87
Player 15,16,13,19,2,59
Player 16,21,54,20,3,54
Player 17,21,65,20,5,47
Player 18,15,78,15,3,2
Player 19,9,67,10,1,89
Player 20,21,111,2,3,59
Player 21,10,150,9,1,68
Player 22,0,20,22,0,76
Player 23,6,82,20,2,72
Player 24,20,44,10,4,35
Player 25,2,102,21,1,28
Player 26,14,104,18,3,16
Player 27,4,119,16,0,1
Player 28,12,138,16,5,98
Player 29,9,100,18,3,56
Player 30,6,190,14,4,76
Player 31,20,101,6,3,60
Player 32,18,154,2,1,96
Player 33,1,25,22,1,46
Player 34,6,161,3,3,97
Player 35,4,95,13,2,82
Player 36,7,71,11,1,50
Player 37,5,111,10,2,94
Player 38,8,9,15,1,34
Player 39,8,74,11,2,2
Player 40,24,72,8,3,21
Player 41,24,40,18,1,14
Player 42,12,55,18,0,41
Player 43,19,63,18,1,100
Player 44,11,27,13,0,89
Player 45,16,45,3,3,55
Player 46,2,71,3,1,80
Player 47,0,99,18,5,21
Player 48,6,91,5,5,40
Player 49,11,64,11,0,8
Player 50,3,89,22,2,57
Player 51,18,14,0,5,77
Player 52,14,119,17,4,52
Player 53,4,58,8,0,72
Player 54,3,109,0,1,68
Player 55,21,6,22,3,49
Player 56,3,164,3,5,72
Player 57,4,104,16,4,57
Player 58,18,56,9,4,9
Player 59,10,140,24,0,50
Player 60,19,126,10,3,89
Player 61,8,189,0,2,78
Player 62,18,161,1,3,62
Player 63,1,36,1,5,71
Player 64,22,8,14,2,70
Player 65,22,200,13,5,30
Player 66,21,122,19,3,75
Player 67,7,32,15,3,57
Player 68,15,150,10,0,92
Player 69,6,31,23,4,63
Player 70,3,102,2,1,32
Player 71,0,165,5,5,13
Player 72,3,70,6,1,31
Player 73,0,145,22,0,28
Player 74,10,134,23,1,49
Player 75,13,123,21,4,24
Player 76,14,150,7,2,1
Player 77,0,77,0,0,23
Player 78,18,111,0,2,52
Player 79,14,58,14,0,66
Player 80,24,77,19,1,8
Player 81,5,178,2,5,22
Player 82,9,5,0,5,38
Player 83,10,57,1,0,3
Player 84,20,177,5,2,85
Player 85,1,172,14,5,80
Player 86,6,132,16,2,87
Player 87,10,44,17,1,98
Player 88,10,58,23,1,20
Player 89,23,81,1,3,73
Player 90,3,182,9,5,57
Player 91,17,48,18,0,9
Player 92,24,82,11,2,37
Player 93,9,67,1,2,85
Player 94,9,200,21,2,17
Player 95,9,11,11,2,51
Player 96,6,184,13,2,37
Player 97,21,51,2,0,10
Player 98,16,125,9,1,86
Player 99,14,33,6,2,74
Player 100,2,129,19,3,29
Player 101,15,161,15,4,63
Player 102,14,36,17,5,52
Player 103,8,191,11,3,67
Player 104,2,126,2,2,0
Player 105,14,48,2,0,79
Player 106,2,179,11,1,100
Player 107,1,176,15,0,11
Player 108,20,32,24,5,29
Player 109,21,81,1,0,93
Player 110,13,37,10,1,43
Player 111,7,193,17,3,73
Player 112,12,141,9,5,28
Player 113,18,128,9,3,20
Player 114,1,146,14,1,82
Player 115,10,169,16,2,95
Player 116,7,59,14,1,62
Player 117,8,127,22,2,47
Player 118,21,7,23,5,97
Player 119,23,62,22,0,5
Player 120,2,132,0,5,68
Player 121,22,38,4,0,21
Player 122,11,111,0,3,0
Player 123,23,78,19,2,0
Player 124,15,13,23,0,99
Player 125,5,175,6,2,26
Player 126,16,168,11,1,67
Player 127,0,26,15,3,2
Player 128,15,190,12,4,0
Player 129,19,86,17,5,43
Player 130,4,18,14,3,94
Player 131,3,146,10,2,26
Player 132,13,127,3,5,99
Player 133,1,151,2,4,17
Player 134,17,121,11,0,8
Player 135,22,26,15,3,70
Player 136,11,117,21,1,47
Player 137,15,40,3,5,19
Player 138,0,159,0,4,36
Player 139,23,195,2,0,38
Player 140,3,82,23,0,93
Player 141,23,56,22,2,71
Player 142,4,165,13,3,22
Player 143,23,185,9,4,27
Player 144,3,77,12,3,63
Player 145,17,133,14,1,20
Player 146,12,176,4,2,100
Player 147,11,95,21,2,35
Player 148,2,49,4,2,6
Player 149,17,178,11,5,68
Player 150,8,44,8,5,2
Player 151,1,18,6,1,18
Player 152,10,193,18,3,31
Player 153,10,192,4,2,26
Player 154,17,194,14,3,53
Player 155,11,48,7,5,9
Player 156,1,95,23,1,1
Player 157,11,82,13,4,86
Player 158,9,127,24,5,80
Player 159,6,157,9,2,6
Player 160,9,86,6,4,78
Player 161,16,112,13,3,42
Player 162,14,134,19,5,52
Player 163,12,50,18,3,45
Player 164,2,126,17,2,55
Player 165,11,64,23,1,36
Player 166,18,199,6,0,45
Player 167,9,33,12,0,34
Player 168,7,11,0,1,99
Player 169,14,108,20,0,71
Player 170,22,41,1,2,79
Player 171,12,104,19,4,85
Player 172,6,44,10,4,53
Player 173,20,145,7,2,3
Player 174,13,157,5,4,89
Player 175,5,157,18,5,73
Player 176,11,22,17,3,78
Player 177,10,88,7,4,31
Player 178,3,36,22,1,19
Player 179,2,41,1,3,8
Player 180,14,187,17,2,33
Player 181,20,17,11,4,66
Player 182,23,93,2,4,68
Player 183,6,111,3,4,13
Player 184,16,102,14,1,70
Player 185,11,48,5,0,79
Player 186,12,59,17,1,48
Player 187,2,5,17,1,49
Player 188,5,10,3,3,12
Player 189,17,24,18,5,36
Player 190,19,182,15,2,75
Player 191,10,116,23,1,24
Player 192,22,5,4,5,37
Player 193,6,173,18,3,21
Player 194,13,154,23,2,46
Player 195,11,144,3,3,42
Player 196,5,198,17,4,27
Player 197,14,131,15,4,16
Player 198,23,76,22,1,7
Player 199,24,156,16,2,77
Player 200,1,193,16,1,29
Player 201,12,44,11,2,39
Player 202,1,14,8,0,51
Player 203,7,81,6,1,56
Player 204,11,171,16,3,32
Player 205,15,148,4,5,39
Player 206,3,60,4,3,67
Player 207,17,109,3,0,98
Player 208,12,86,10,1,62
Player 209,12,70,10,5,19
Player 210,20,119,17,5,2
Player 211,18,19,10,2,6
Player 212,16,193,7,4,90
Player 213,23,115,23,2,73
Player 214,16,181,6,1,17
Player 215,20,161,0,5,97
Player 216,22,73,18,5,66
Player 217,12,1,6,0,12
Player 218,24,51,17,5,42
Player 219,3,48,0,3,65
Player 220,11,102,23,4,67
Player 221,0,75,0,0,47
Player 222,11,41,1,0,51
Player 223,5,135,10,2,56
Player 224,10,47,12,1,34
Player 225,10,141,9,0,38
Player 226,6,80,23,1,26
Player 227,21,66,9,1,60
Player 228,19,57,23,1,23
Player 229,13,24,0,4,94
Player 230,18,124,10,1,35
Player 231,6,108,13,1,9
Player 232,12,7,16,1,59
Player 233,24,45,11,3,35
Player 234,9,0,3,4,80
Player 235,7,157,7,4,56
Player 236,5,139,13,1,15
Player 237,10,49,16,3,17
Player 238,7,58,18,2,55
Player 239,3,154,5,4,43
Player 240,11,34,17,4,75
Player 241,4,88,20,2,49
Player 242,10,154,10,1,82
Player 243,9,152,6,0,19
Player 244,15,60,4,1,32
Player 245,15,199,13,0,55
Player 246,22,68,17,5,48
Player 247,18,139,12,1,60
Player 248,22,150,2,5,24
Player 249,16,184,13,0,29
Player 250,3,12,10,0,45
