ID,Play Frequency,Time Since Played,Latency,Infractions,Skill Level,Role
Player 9240,0,10,176,1,49,4
Player 7387,21,0,135,1,40,2
Player 5244,23,17,54,0,24,2
Player 7790,0,4,103,1,78,2
Player 5756,12,8,107,1,62,1
Player 9521,23,11,37,4,64,3
Player 9207,15,9,196,5,91,0
Player 8141,4,23,137,4,80,0
Player 3422,8,11,16,2,5,4
Player 2510,19,5,175,2,62,1
Player 1486,13,16,24,3,28,4
Player 20,12,4,30,2,40,3
Player 2471,11,7,72,4,11,4
Player 6607,2,12,12,3,84,1
Player 7257,21,21,49,2,80,4
Player 7114,23,16,15,5,77,4
Player 399,10,22,171,0,73,2
Player 1403,11,5,114,0,67,3
Player 73,4,13,37,1,53,3
Player 6022,0,23,48,5,20,1
Player 2717,18,16,177,0,97,4
Player 1339,11,0,45,1,76,3
Player 9142,8,7,18,5,44,4
Player 3020,1,11,155,3,25,4
Player 7800,3,8,148,5,25,3
Player 9681,13,2,70,3,73,0
Player 8178,12,13,66,2,89,4
Player 9979,8,19,21,5,98,3
Player 6291,13,17,180,1,90,2
Player 7378,20,13,57,2,57,1
Player 1878,21,21,151,5,70,4
Player 769,12,19,196,4,54,1
Player 2648,0,18,40,4,22,3
Player 9350,16,9,10,4,96,1
Player 742,22,8,126,0,96,1
Player 9183,8,7,30,0,57,4
Player 3547,19,2,170,2,68,4
Player 2193,12,11,16,3,91,1
Player 7687,8,16,112,4,40,0
Player 3971,15,16,27,4,6,3
Player 9819,11,18,198,0,59,1
Player 6142,7,16,174,1,87,3
Player 6635,18,18,71,2,88,0
Player 8988,17,14,39,0,98,4
Player 8086,15,4,31,2,39,3
Player 2700,9,19,42,3,92,2
Player 186,9,1,30,4,100,2
Player 690,9,4,11,3,31,3
Player 5920,18,7,38,1,39,1
Player 2433,2,16,75,1,11,3
Player 3209,22,12,162,4,28,3
Player 251,7,21,165,0,16,4
Player 1154,9,13,28,4,84,1
Player 7377,8,17,147,3,93,2
Player 8153,5,13,199,4,66,3
Player 7021,0,7,134,4,67,0
Player 6917,0,18,179,4,12,3
Player 9052,18,10,42,1,79,3
Player 9958,21,21,120,3,65,4
Player 856,15,6,117,0,67,0
Player 8927,14,0,148,4,88,3
Player 998,20,23,119,1,12,1
Player 9309,8,10,12,4,61,1
Player 7545,24,0,133,5,31,0
Player 283,18,18,150,0,42,3
Player 6191,16,15,96,1,0,3
Player 6157,24,2,192,1,25,3
Player 5415,15,19,53,2,79,1
Player 6819,13,3,77,0,46,4
Player 7784,8,19,87,2,5,3
Player 7152,23,19,32,3,99,1
Player 548,20,22,6,5,99,1
Player 4165,7,13,84,5,72,1
Player 6072,12,22,140,1,59,2
Player 2031,21,5,29,2,54,3
Player 7581,4,20,136,3,7,0
Player 8894,5,7,66,0,27,1
Player 2239,22,19,42,2,8,4
Player 64,16,2,115,4,34,1
Player 897,12,15,153,0,22,0
Player 2212,6,16,29,1,61,1
Player 839,11,4,59,0,4,3
Player 5216,17,10,32,0,72,1
Player 5688,10,16,5,3,80,1
Player 278,21,13,26,3,83,2
Player 8185,6,7,16,4,21,1
Player 7116,16,18,132,2,15,3
Player 8116,8,12,183,0,77,0
Player 7582,13,20,161,5,11,1
Player 8673,3,19,22,4,16,2
Player 124,20,17,125,3,10,1
Player 994,21,24,189,4,9,2
Player 2951,20,6,183,5,7,1
Player 2998,18,22,98,4,72,3
Player 7248,17,24,54,3,40,0
Player 2712,23,12,74,5,0,4
Player 3202,4,9,4,2,13,3
Player 2806,11,2,56,1,35,3
Player 2712,23,12,74,5,0,4
Player 951,23,11,183,2,17,1
Player 4047,1,12,195,1,92,0
Player 1570,3,10,94,4,98,0
Player 2901,6,2,154,4,14,1
Player 3215,0,24,77,3,59,3
Player 7049,22,15,197,5,30,3
Player 922,21,3,22,5,66,2
Player 8701,4,6,179,1,64,1
Player 4922,14,16,37,3,47,3
Player 4415,7,13,139,4,91,1
Player 4131,15,16,164,4,90,4
Player 6788,5,9,127,3,48,3
Player 8771,6,1,163,1,56,1
Player 2347,6,14,2,1,1,1
Player 4912,15,4,68,5,42,1
Player 3852,6,17,83,2,6,0
Player 4275,17,8,49,2,35,2
Player 5950,14,1,8,4,34,1
Player 4179,23,16,150,5,97,2
Player 6333,14,2,7,0,42,0
Player 916,9,2,148,3,27,2
Player 9672,2,10,171,3,57,2
Player 4837,12,22,12,2,67,3
Player 4018,11,16,114,1,6,0
Player 9620,4,17,159,0,89,3
Player 9361,13,8,3,4,70,0
Player 3070,24,14,118,5,23,0
Player 3149,15,5,24,3,27,2
Player 4683,13,2,136,4,1,0
Player 5828,9,3,76,3,81,2
Player 2967,23,15,160,0,37,2
Player 9464,5,22,147,2,0,2
Player 5706,19,24,167,4,3,3
Player 544,20,16,173,4,36,2
Player 2902,24,24,57,1,8,3
Player 9173,19,13,164,0,6,1
Player 3352,8,22,34,0,23,2
Player 1732,18,17,53,4,65,2
Player 7000,12,24,122,2,10,0
Player 7075,19,22,189,2,38,4
Player 7168,24,5,113,1,41,1
Player 1263,13,24,36,1,58,1
Player 3640,10,24,34,3,70,4
Player 3531,7,15,97,1,64,0
Player 3091,19,13,171,1,100,4
Player 1985,20,18,53,4,22,4
Player 4426,5,1,118,0,55,4
Player 7687,8,16,112,4,40,0
Player 9017,15,14,57,1,32,4
Player 6341,4,0,26,5,45,2
Player 9756,13,5,197,5,20,2
Player 6031,4,6,27,5,41,3
Player 5201,14,18,123,1,9,0
Player 8541,8,2,179,2,4,1
Player 9289,13,6,115,2,8,3
Player 6232,14,11,152,0,88,2
Player 3097,24,19,50,3,50,2
Player 7804,1,6,50,3,14,2
Player 5655,23,4,195,2,32,1
Player 8232,11,6,100,0,12,1
Player 6298,0,15,82,4,59,4
Player 9028,12,7,93,5,9,2
Player 9093,3,10,78,0,61,0
Player 2572,5,19,28,0,84,4
Player 3785,9,20,106,5,5,2
Player 8461,0,8,59,3,95,3
Player 8658,6,12,73,2,38,4
Player 8565,13,21,141,5,37,2
Player 9430,11,10,189,4,2,4
Player 3385,16,20,25,0,51,2
Player 3185,24,5,82,2,18,0
Player 1473,19,16,117,4,75,0
Player 6080,18,8,71,5,58,1
Player 2915,24,5,140,4,13,1
Player 7834,20,10,89,2,59,1
Player 9631,16,20,85,4,63,4
Player 4586,11,4,153,1,0,4
Player 602,13,18,174,0,3,1
Player 194,3,6,112,3,99,1
Player 360,13,18,200,0,85,4
Player 1720,7,15,158,0,21,1
Player 3301,20,8,122,5,15,3
Player 1914,12,4,14,4,56,1
Player 6010,2,19,114,2,81,4
Player 8997,9,18,55,5,71,3
Player 6407,20,12,111,1,31,0
Player 1580,21,24,51,2,36,1
Player 5151,22,7,143,1,0,3
Player 81,2,22,61,1,92,3
Player 8953,20,24,30,1,95,4
Player 6537,16,20,135,3,51,1
Player 1971,21,1,87,2,87,2
Player 5956,5,11,46,2,67,3
Player 9830,2,0,133,5,41,1
Player 7287,15,16,168,3,38,4
Player 160,15,7,71,0,17,0
Player 2005,9,7,166,5,9,3
Player 3861,19,6,128,3,90,3
Player 5814,11,19,100,5,100,4
Player 4139,0,20,93,2,73,0
Player 9525,1,3,83,2,3,1
Player 4104,6,3,35,0,63,2
Player 1430,16,14,88,3,11,1
Player 9568,6,17,197,3,3,3
Player 614,9,6,71,2,99,3
Player 3893,23,21,187,1,39,3
Player 5012,13,7,133,1,17,1
Player 4658,11,9,184,4,43,3
Player 128,16,19,200,5,71,4
Player 4581,5,4,95,2,77,2
Player 4220,10,8,110,0,51,0
Player 990,6,19,154,2,34,1
Player 9302,15,16,127,2,25,1
Player 3866,20,24,30,4,35,4
Player 7515,12,14,11,3,7,4
Player 4456,3,15,192,2,17,4
Player 9736,15,2,17,0,26,4
Player 115,0,2,98,5,55,0
Player 715,11,18,13,3,29,0
Player 5900,10,16,1,3,55,3
Player 9797,18,21,158,5,13,0
Player 5757,8,18,158,0,75,4
Player 6266,24,9,181,5,80,3
Player 7717,19,12,182,5,15,0
Player 5738,6,4,142,4,38,1
Player 863,16,19,99,1,29,0
Player 3841,6,20,79,2,44,0
Player 1547,7,17,184,1,30,1
Player 3597,23,12,50,0,32,2
Player 8667,6,5,134,1,78,3
Player 6214,10,13,186,1,29,3
Player 2719,20,19,104,4,80,4
Player 7533,17,8,165,1,85,2
Player 7316,9,10,196,1,50,2
Player 85,24,22,111,1,47,2
Player 7158,17,0,88,4,75,4
Player 4069,13,8,122,0,78,4
Player 8855,14,5,190,1,10,3
Player 8714,2,6,125,2,32,4
Player 6911,11,0,110,5,21,1
Player 4958,23,24,53,0,48,3
Player 8960,2,1,164,5,37,4
Player 9572,19,2,17,0,73,2
Player 7592,14,5,118,2,95,4
Player 4232,0,18,117,5,4,3
Player 2173,14,6,1,1,45,1
Player 5172,2,15,186,2,82,4
Player 5690,1,3,149,4,0,0
Player 4031,3,10,86,1,93,2
